orig_index,orig_x,orig_y,new_x,new_y,dx,dy,dist
0,144.498689,72.206948,146.236952,70.353668,1.738263,-1.853280,2.540906
1,142.574355,71.662027,144.469032,69.099760,1.894678,-2.562267,3.186694
2,140.650021,71.117107,142.889934,68.625844,2.239913,-2.491263,3.350164
3,120.027266,63.198648,120.770018,67.258671,0.742752,4.060023,4.127405
4,118.102932,62.653727,117.648680,65.510306,-0.454252,2.856579,2.892471
5,68.138695,77.606154,70.004786,80.638275,1.866091,3.032122,3.560345
6,66.214361,77.061233,67.761169,79.307947,1.546808,2.246713,2.727698
7,64.290027,76.516313,65.438324,79.967818,1.148296,3.451505,3.637509
8,62.365693,75.971393,60.029254,73.821475,-2.336439,-2.149918,3.175074
9,60.441359,75.426472,57.581213,74.201283,-2.860146,-1.225189,3.111515
10,58.517025,74.881552,55.870388,74.353479,-2.646637,-0.528072,2.698805
11,56.592691,74.336631,54.658020,75.225826,-1.934671,0.889195,2.129230
12,54.668357,73.791711,52.488684,74.631565,-2.179673,0.839855,2.335879
13,52.744023,73.246790,51.067253,74.460293,-1.676769,1.213503,2.069818
14,50.819689,72.701870,50.084931,73.825002,-0.734757,1.123132,1.342123
15,69.518109,80.075408,69.175824,82.243602,-0.342285,2.168194,2.195045
16,67.593775,79.530488,68.148716,80.785531,0.554941,1.255043,1.372258
17,65.669441,78.985568,66.527371,81.100490,0.857930,2.114923,2.282311
18,63.745107,78.440647,63.280233,80.740156,-0.464874,2.299509,2.346028
19,61.820773,77.895727,60.150852,80.852572,-1.669921,2.956846,3.395817
20,59.896439,77.350806,56.080559,78.636633,-3.815880,1.285827,4.026697
21,57.972104,76.805886,54.692982,77.150064,-3.279122,0.344178,3.297136
22,56.047770,76.260965,53.391403,75.927179,-2.656367,-0.333786,2.677256
23,54.123436,75.716045,51.860042,76.395575,-2.263395,0.679530,2.363200
24,52.199102,75.171124,51.103563,75.481928,-1.095539,0.310804,1.138774
25,68.973189,81.999743,67.154979,82.781115,-1.818210,0.781372,1.978997
26,67.048854,81.454822,65.508255,83.004424,-1.540599,1.549602,2.185111
27,65.124520,80.909902,64.866888,81.743523,-0.257632,0.833621,0.872524
28,63.200186,80.364981,63.598089,82.562025,0.397903,2.197044,2.232785
29,61.275852,79.820061,61.820795,82.324007,0.544943,2.503946,2.562559
30,59.351518,79.275140,57.269226,80.757945,-2.082292,1.482805,2.556297
31,57.427184,78.730220,55.652960,80.203478,-1.774224,1.473258,2.306157
32,55.502850,78.185299,53.811540,78.667097,-1.691310,0.481797,1.758596
33,53.578516,77.640379,52.656579,77.410414,-0.921937,-0.229965,0.950185
34,68.428268,83.924077,68.138068,84.525781,-0.290200,0.601705,0.668030
35,66.503934,83.379156,66.087618,84.147215,-0.416316,0.768059,0.873632
36,64.579600,82.834236,64.602041,83.898676,0.022441,1.064440,1.064677
37,62.655266,82.289315,62.804028,83.451878,0.148763,1.162563,1.172042
38,60.730932,81.744395,60.630943,82.732650,-0.099989,0.988255,0.993301
39,58.806598,81.199474,58.461588,81.691787,-0.345010,0.492312,0.601168
40,91.230704,84.145200,91.324537,84.714007,0.093833,0.568807,0.576495
41,89.306370,83.600279,89.168152,84.701361,-0.138218,1.101082,1.109723
42,87.382036,83.055359,86.900214,84.796555,-0.481822,1.741197,1.806632
43,85.457702,82.510438,83.866201,83.532399,-1.591501,1.021961,1.891370
44,83.533368,81.965518,82.138916,83.492801,-1.394452,1.527283,2.068112
45,81.609034,81.420597,80.803025,83.055207,-0.806009,1.634609,1.822525
46,79.684700,80.875677,79.114388,80.301419,-0.570312,-0.574258,0.809338
47,77.760366,80.330756,77.772808,80.074141,0.012442,-0.256615,0.256916
48,75.836032,79.785836,76.687341,79.210593,0.851309,-0.575243,1.027439
49,73.911698,79.240915,75.524359,79.852876,1.612661,0.611960,1.724868
50,71.987364,78.695995,74.630278,78.379416,2.642915,-0.316579,2.661808
51,70.063029,78.151074,73.289444,78.869977,3.226414,0.718903,3.305536
52,84.912782,84.434772,84.702900,84.883442,-0.209882,0.448670,0.495333
53,82.988448,83.889852,82.579189,84.899232,-0.409259,1.009380,1.089193
54,81.064114,83.344931,81.062696,84.950447,-0.001417,1.605515,1.605516
55,79.139779,82.800011,79.834385,83.991198,0.694606,1.191187,1.378914
56,77.215445,82.255090,79.191968,82.214012,1.976523,-0.041079,1.976949
57,75.291111,81.710170,77.288004,81.573400,1.996893,-0.136770,2.001571
58,73.366777,81.165249,73.838276,80.443850,0.471498,-0.721399,0.861817
59,71.442443,80.620329,71.508660,81.194613,0.066216,0.574284,0.578089
60,69.518109,80.075408,69.175824,82.243602,-0.342285,2.168194,2.195045
61,76.670525,84.179424,78.953664,84.992116,2.283139,0.812692,2.423467
62,74.746191,83.634504,77.486303,84.336743,2.740112,0.702239,2.828666
63,72.821857,83.089584,71.271609,84.525229,-1.550248,1.435645,2.112900
64,70.897523,82.544663,69.876462,83.986606,-1.021060,1.441943,1.766852
65,68.973189,81.999743,67.154979,82.781115,-1.818210,0.781372,1.978997
66,68.428268,83.924077,68.138068,84.525781,-0.290200,0.601705,0.668030
67,87.926957,81.131025,86.134447,83.329433,-1.792510,2.198409,2.836563
68,86.002623,80.586104,82.879668,81.789452,-3.122954,1.203348,3.346773
69,84.078289,80.041184,81.042939,81.612398,-3.035349,1.571214,3.417903
70,62.910614,74.047058,62.247481,72.834798,-0.663133,-1.212261,1.381782
71,60.986280,73.502138,59.395794,72.488688,-1.590486,-1.013450,1.885928
72,59.061945,72.957217,57.711936,72.461934,-1.350009,-0.495284,1.437996
73,96.935257,56.659602,98.436616,57.570471,1.501359,0.910869,1.756064
74,95.010923,56.114681,97.014515,57.782548,2.003592,1.667866,2.606945
75,93.086589,55.569761,95.348649,58.460503,2.262060,2.890742,3.670600
76,145.588530,68.358280,145.861474,68.102055,0.272945,-0.256225,0.374366
77,143.664196,67.813359,144.326593,66.639294,0.662397,-1.174065,1.348035
78,141.739861,67.268439,142.685290,65.574796,0.945429,-1.693643,1.939655
79,150.271691,73.841709,150.901062,73.376626,0.629371,-0.465083,0.782566
80,148.347357,73.296789,149.968143,72.215788,1.620787,-1.081001,1.948207
81,146.423023,72.751868,147.943024,71.127993,1.520001,-1.623875,2.224269
82,148.892277,71.372455,149.036470,71.255032,0.144192,-0.117422,0.185955
83,146.967943,70.827534,147.741111,69.781314,0.773167,-1.046221,1.300910
84,145.043609,70.282614,146.768649,68.863322,1.725040,-1.419292,2.233865
85,143.119275,69.737693,145.015385,67.310043,1.896110,-2.427650,3.080376
86,141.194941,69.192773,142.762656,66.870929,1.567715,-2.321844,2.801551
87,153.575439,76.855884,153.724384,76.744494,0.148946,-0.111391,0.185991
88,151.651105,76.310964,152.598446,75.192725,0.947342,-1.118239,1.465577
89,149.726770,75.766043,151.816744,74.316085,2.089973,-1.449958,2.543692
90,147.802436,75.221123,149.511222,73.952325,1.708786,-1.268798,2.128332
91,145.878102,74.676202,148.079372,73.314466,2.201270,-1.361737,2.588420
92,143.953768,74.131282,146.568316,72.306984,2.614548,-1.824298,3.188091
93,142.029434,73.586362,144.693325,70.853484,2.663891,-2.732877,3.816403
94,140.105100,73.041441,138.409757,75.587039,-1.695343,2.545598,3.058473
95,154.954852,79.325139,155.553998,78.873715,0.599146,-0.451424,0.750173
96,153.030518,78.780218,154.611466,77.856609,1.580948,-0.923610,1.830970
97,151.106184,78.235298,152.345761,77.470678,1.239577,-0.764620,1.456433
98,149.181850,77.690378,151.162408,76.424293,1.980558,-1.266084,2.350655
99,147.257516,77.145457,149.753514,75.547635,2.495998,-1.597822,2.963620
100,145.333182,76.600537,144.271349,79.364752,-1.061833,2.764215,2.961144
101,143.408848,76.055616,142.192295,78.021152,-1.216553,1.965536,2.311565
102,141.484514,75.510696,140.176237,77.046506,-1.308277,1.535811,2.017499
103,139.560180,74.965775,137.789770,76.943807,-1.770409,1.978032,2.654611
104,158.258600,82.339314,158.258600,82.339314,0.000000,0.000000,0.000000
105,156.334266,81.794394,157.046149,80.976533,0.711883,-0.817861,1.084285
106,154.409932,81.249473,156.338430,79.978448,1.928499,-1.271025,2.309678
107,152.485598,80.704553,154.514531,80.614126,2.028933,-0.090427,2.030947
108,150.561264,80.159632,153.140325,79.124869,2.579061,-1.034763,2.778901
109,148.636930,79.614712,147.963876,82.027879,-0.673054,2.413167,2.505270
110,146.712595,79.069791,145.989820,80.749805,-0.722776,1.680014,1.828894
111,144.788261,78.524871,142.951270,80.279252,-1.836992,1.754381,2.540156
112,142.863927,77.979950,141.592997,79.460305,-1.270930,1.480355,1.951080
113,140.939593,77.435030,140.144686,78.711093,-0.794907,1.276063,1.503401
114,139.015259,76.890109,138.676779,78.096988,-0.338480,1.206879,1.253446
115,159.638014,84.808569,160.028756,84.623784,0.390743,-0.184785,0.432233
116,157.713679,84.263648,159.134901,83.488412,1.421221,-0.775236,1.618907
117,155.789345,83.718728,157.642881,84.442252,1.853535,0.723524,1.989744
118,153.865011,83.173807,156.064685,82.459092,2.199674,-0.714715,2.312874
119,151.940677,82.628887,151.652036,85.365221,-0.288641,2.736334,2.751516
120,150.016343,82.083966,149.605820,83.604468,-0.410523,1.520502,1.574946
121,148.092009,81.539046,146.757963,83.082607,-1.334046,1.543561,2.040162
122,146.167675,80.994125,145.445802,82.296541,-0.721873,1.302416,1.489090
123,144.243341,80.449205,144.163558,81.343794,-0.079783,0.894589,0.898140
124,142.319007,79.904284,141.409392,81.277197,-0.909615,1.372913,1.646903
125,140.394673,79.359364,139.442948,80.137540,-0.951725,0.778177,1.229366
126,138.470339,78.814443,138.174529,79.382173,-0.295810,0.567730,0.640173
127,161.017427,87.277823,163.262328,88.968917,2.244901,1.691094,2.810583
128,159.093093,86.732903,162.071739,87.907722,2.978646,1.174819,3.201958
129,157.168759,86.187982,161.105489,86.472972,3.936730,0.284989,3.947032
130,155.244425,85.643062,155.109627,88.556143,-0.134797,2.913081,2.916198
131,153.320091,85.098141,153.116125,87.342424,-0.203966,2.244283,2.253532
132,151.395757,84.553221,150.818541,86.842928,-0.577216,2.289708,2.361343
133,149.471423,84.008300,149.757549,85.305355,0.286126,1.297055,1.328239
134,147.547089,83.463380,148.023369,84.158510,0.476280,0.695130,0.842644
135,145.622754,82.918459,144.897468,83.633349,-0.725287,0.714890,1.018385
136,143.698420,82.373539,143.562556,82.727189,-0.135864,0.353650,0.378850
137,141.774086,81.828618,142.412761,81.925963,0.638674,0.097344,0.646050
138,139.849752,81.283698,140.444370,80.705673,0.594617,-0.578025,0.829266
139,137.925418,80.738777,137.899052,80.744333,-0.026366,0.005555,0.026945
140,160.472507,89.202157,162.257894,90.536527,1.785387,1.334370,2.228935
141,158.548173,88.657237,160.622469,90.603543,2.074296,1.946306,2.844435
142,156.623839,88.112316,157.952287,90.190425,1.328448,2.078109,2.466437
143,154.699504,87.567396,155.759701,90.081438,1.060197,2.514042,2.728447
144,152.775170,87.022475,153.709487,89.858542,0.934317,2.836067,2.986005
145,150.850836,86.477555,151.358977,88.258004,0.508140,1.780449,1.851541
146,148.926502,85.932634,148.773729,86.356071,-0.152773,0.423436,0.450153
147,147.002168,85.387714,147.456705,85.428839,0.454537,0.041125,0.456394
148,145.077834,84.842793,146.169951,84.498953,1.092117,-0.343840,1.144965
149,143.153500,84.297873,143.497876,84.227021,0.344376,-0.070852,0.351589
150,141.229166,83.752952,141.588169,83.161763,0.359004,-0.591190,0.691657
151,139.304832,83.208032,139.845005,82.076962,0.540173,-1.131070,1.253438
152,137.380498,82.663112,138.136741,82.318003,0.756243,-0.345109,0.831266
153,159.927586,91.126491,159.724991,91.890805,-0.202595,0.764314,0.790709
154,158.003252,90.581571,158.522058,92.473788,0.518805,1.892218,1.962052
155,156.078918,90.036650,156.938604,91.484917,0.859686,1.448266,1.684202
156,154.154584,89.491730,155.570693,91.698635,1.416109,2.206905,2.622174
157,152.230250,88.946809,154.198388,91.146145,1.968138,2.199335,2.951380
158,150.305916,88.401889,152.564299,89.278477,2.258383,0.876588,2.422540
159,148.381582,87.856968,149.654966,87.942153,1.273384,0.085184,1.276230
160,146.457248,87.312048,147.337657,87.071450,0.880409,-0.240598,0.912693
161,144.532914,86.767127,145.422394,85.638039,0.889481,-1.129089,1.437365
162,142.608579,86.222207,143.760077,85.862368,1.151497,-0.359839,1.206412
163,140.684245,85.677287,141.860576,84.759068,1.176331,-0.918218,1.492273
164,138.759911,85.132366,139.874007,83.672209,1.114096,-1.460157,1.836646
165,136.835577,84.587446,135.880014,86.297633,-0.955563,1.710187,1.959041
166,157.458332,92.505905,157.391857,93.002126,-0.066475,0.496221,0.500654
167,155.533998,91.960984,156.158310,93.501514,0.624312,1.540529,1.662226
168,153.609663,91.416064,154.886335,92.819907,1.276671,1.403843,1.897542
169,151.685329,90.871143,153.068611,92.681389,1.383282,1.810246,2.278257
170,149.760995,90.326223,152.191870,91.225810,2.430875,0.899587,2.591989
171,147.836661,89.781303,150.570108,89.923024,2.733447,0.141722,2.737119
172,145.912327,89.236382,148.210112,88.713074,2.297785,-0.523308,2.356622
173,143.987993,88.691462,145.669635,87.306963,1.681642,-1.384499,2.178247
174,142.063659,88.146541,140.927103,90.632859,-1.136556,2.486318,2.733777
175,140.139325,87.601621,139.290098,89.509265,-0.849227,1.907644,2.088131
176,138.214991,87.056700,137.513579,88.185144,-0.701412,1.128444,1.328670
177,136.290657,86.511780,135.448773,87.845913,-0.841884,1.334133,1.577555
178,153.064743,93.340398,154.615094,94.187726,1.550351,0.847328,1.766792
179,151.140409,92.795478,153.431482,94.579747,2.291073,1.784270,2.903900
180,149.216075,92.250557,150.109628,95.734727,0.893553,3.484170,3.596926
181,147.291741,91.705637,148.006287,94.591905,0.714547,2.886268,2.973402
182,145.367407,91.160716,145.198078,93.247687,-0.169329,2.086971,2.093829
183,143.443073,90.615796,143.177380,92.488919,-0.265693,1.873124,1.891873
184,141.518738,90.070875,141.557577,92.342030,0.038839,2.271155,2.271487
185,139.594404,89.525955,140.071750,92.599223,0.477346,3.073269,3.110119
186,137.670070,88.981034,137.699248,90.164851,0.029178,1.183817,1.184177
187,135.745736,88.436114,135.642820,89.174558,-0.102917,0.738444,0.745581
188,150.595488,94.719812,152.056348,95.027611,1.460859,0.307800,1.492933
189,148.671154,94.174891,148.385671,96.240610,-0.285483,2.065719,2.085353
190,146.746820,93.629971,146.527007,95.461393,-0.219813,1.831423,1.844567
191,144.822486,93.085050,145.102234,94.864824,0.279748,1.779773,1.801625
192,142.898152,92.540130,143.582909,94.279901,0.684757,1.739772,1.869678
193,140.973818,91.995209,142.309578,94.598124,1.335760,2.602915,2.925648
194,139.049484,91.450289,141.190577,93.950704,2.141093,2.500416,3.291862
195,137.125150,90.905368,138.976479,91.607025,1.851329,0.701656,1.979834
196,135.200816,90.360448,136.514806,90.737332,1.313990,0.376885,1.366972
197,146.201900,95.554305,146.010619,96.773496,-0.191281,1.219191,1.234105
198,144.277566,95.009384,144.495173,96.936362,0.217607,1.926978,1.939226
199,142.353232,94.464464,144.046760,96.015454,1.693528,1.550990,2.296434
200,140.428898,93.919543,142.413348,95.913578,1.984450,1.994035,2.813222
201,138.504563,93.374623,140.457787,95.553031,1.953223,2.178409,2.925841
202,136.580229,92.829702,139.180355,94.150492,2.600126,1.320790,2.916357
203,134.655895,92.284782,137.491308,92.568778,2.835413,0.283996,2.849600
204,141.808311,96.388798,142.729463,97.272279,0.921152,0.883481,1.276347
205,139.883977,95.843877,141.404254,97.410783,1.520277,1.566905,2.183216
206,137.959643,95.298957,140.080805,97.344028,2.121162,2.045071,2.946463
207,136.035309,94.754036,138.440793,97.263942,2.405484,2.509906,3.476490
208,134.110975,94.209116,135.328271,97.351964,1.217296,3.142848,3.370356
209,122.206948,55.501311,122.333665,55.364380,0.126717,-0.136932,0.186567
210,120.282614,54.956391,120.531002,54.662173,0.248388,-0.294218,0.385047
211,118.358280,54.411470,118.592474,53.735470,0.234194,-0.676001,0.715419
212,131.283698,60.150248,131.314698,59.928004,0.031000,-0.222244,0.224395
213,129.359364,59.605327,129.698172,59.107039,0.338809,-0.498288,0.602563
214,127.435030,59.060407,128.333219,58.416316,0.898189,-0.644091,1.105259
215,125.510696,58.515486,126.701892,57.579442,1.191196,-0.936044,1.514967
216,123.586362,57.970566,124.651137,56.617808,1.064776,-1.352758,1.721541
217,121.662027,57.425645,123.491896,55.994692,1.829869,-1.430954,2.322940
218,119.737693,56.880725,121.409401,54.993249,1.671708,-1.887476,2.521343
219,117.813359,56.335804,117.334764,54.874013,-0.478596,-1.461792,1.538145
220,140.360448,64.799184,140.602712,64.521821,0.242264,-0.277363,0.368269
221,138.436114,64.254264,138.701634,63.606534,0.265520,-0.647730,0.700040
222,136.511780,63.709343,136.795517,62.783280,0.283737,-0.926064,0.968556
223,134.587446,63.164423,134.758237,61.636049,0.170792,-1.528374,1.537887
224,132.663112,62.619502,132.683406,60.588068,0.020294,-2.031434,2.031536
225,130.738777,62.074582,130.304490,60.978630,-0.434287,-1.095952,1.178862
226,128.814443,61.529661,129.211436,60.097028,0.396993,-1.432633,1.486621
227,126.890109,60.984741,127.675627,60.972203,0.785518,-0.012538,0.785618
228,124.965775,60.439820,127.389405,59.378739,2.423630,-1.061082,2.645728
229,123.041441,59.894900,125.887441,57.483807,2.846000,-2.411093,3.730025
230,121.117107,59.349979,123.994477,58.103120,2.877370,-1.246859,3.135908
231,119.192773,58.805059,122.321747,56.974474,3.128974,-1.830585,3.625123
232,117.268439,58.260139,120.180748,56.318603,2.912309,-1.941535,3.500158
233,139.270607,68.647852,140.234625,66.311190,0.964018,-2.336662,2.527711
234,137.346273,68.102932,139.165164,64.860099,1.818891,-3.242833,3.718109
235,135.421939,67.558011,135.081367,64.077038,-0.340572,-3.480973,3.497594
236,133.497605,67.013091,131.239408,63.683070,-2.258197,-3.330021,4.023492
237,131.573271,66.468171,129.664121,65.882505,-1.909150,-0.585665,1.996962
238,129.648936,65.923250,128.718859,64.560969,-0.930077,-1.362281,1.649501
239,127.724602,65.378330,127.453035,66.485259,-0.271567,1.106929,1.139755
240,125.800268,64.833409,127.429891,64.643114,1.629623,-0.190296,1.640696
241,123.875934,64.288489,125.880807,65.033582,2.004873,0.745093,2.138850
242,121.951600,63.743568,124.720180,66.827284,2.768580,3.083716,4.144194
243,139.815527,66.723518,141.579168,64.952238,1.763641,-1.771280,2.499572
244,137.891193,66.178598,137.169690,64.200930,-0.721503,-1.977668,2.105169
245,135.966859,65.633677,135.627718,62.073055,-0.339142,-3.560623,3.576737
246,134.042525,65.088757,133.051573,62.081154,-0.990953,-3.007603,3.166648
247,132.118191,64.543836,131.272209,61.917995,-0.845982,-2.625841,2.758755
248,130.193857,63.998916,129.720004,63.160959,-0.473853,-0.837957,0.962657
249,128.269523,63.453995,128.936096,61.523412,0.666573,-1.930583,2.042418
250,126.345189,62.909075,128.332119,62.804188,1.986930,-0.104887,1.989696
251,124.420855,62.364155,126.608568,62.885792,2.187713,0.521638,2.249043
252,122.496521,61.819234,126.179261,61.017625,3.682740,-0.801609,3.768972
253,120.572187,61.274314,125.355438,59.422593,4.783252,-1.851721,5.129168
254,118.647852,60.729393,121.818413,58.385312,3.170561,-2.344081,3.942990
255,116.723518,60.184473,118.218598,56.802975,1.495080,-3.381498,3.697268
256,109.281530,49.762534,109.393970,49.615270,0.112440,-0.147264,0.185282
257,107.357196,49.217613,107.416721,48.832953,0.059526,-0.384661,0.389239
258,105.432862,48.672693,105.224209,47.998696,-0.208652,-0.673997,0.705555
259,103.508528,48.127772,103.128020,47.377295,-0.380508,-0.750477,0.841429
260,101.584193,47.582852,101.505424,47.007328,-0.078770,-0.575524,0.580889
261,99.659859,47.037932,99.939820,46.682935,0.279961,-0.354997,0.452107
262,97.735525,46.493011,97.881799,46.302479,0.146273,-0.190533,0.240205
263,118.358280,54.411470,118.592474,53.735470,0.234194,-0.676001,0.715419
264,116.433946,53.866550,116.616690,52.736474,0.182744,-1.130076,1.144756
265,114.509612,53.321629,114.953493,51.855877,0.443881,-1.465753,1.531490
266,112.585278,52.776709,113.176439,51.118494,0.591161,-1.658215,1.760440
267,110.660943,52.231788,111.420081,50.439152,0.759138,-1.792637,1.946750
268,108.736609,51.686868,110.336072,49.928512,1.599463,-1.758356,2.376994
269,106.812275,51.141948,106.191288,48.348558,-0.620988,-2.793389,2.861582
270,104.887941,50.597027,103.674967,48.118854,-1.212974,-2.478173,2.759103
271,102.963607,50.052107,102.148641,48.871854,-0.814966,-1.180253,1.434282
272,101.039273,49.507186,100.839018,47.668983,-0.200255,-1.838203,1.849079
273,99.114939,48.962266,99.541363,48.326296,0.426424,-0.635969,0.765699
274,97.190605,48.417345,98.899888,46.744629,1.709283,-1.672717,2.391575
275,95.266271,47.872425,95.992443,45.984837,0.726172,-1.887587,2.022452
276,117.813359,56.335804,117.334764,54.874013,-0.478596,-1.461792,1.538145
277,115.889025,55.790884,115.869661,53.497739,-0.019364,-2.293145,2.293227
278,113.964691,55.245964,114.383765,52.806856,0.419074,-2.439107,2.474847
279,112.040357,54.701043,112.872491,52.182210,0.832134,-2.518833,2.652729
280,110.116023,54.156123,111.135908,51.883166,1.019885,-2.272956,2.491284
281,108.191689,53.611202,108.068320,50.709251,-0.123369,-2.901951,2.904572
282,106.267355,53.066282,104.287563,49.744523,-1.979791,-3.321758,3.866995
283,104.343021,52.521361,102.840398,50.360796,-1.502623,-2.160565,2.631714
284,102.418687,51.976441,101.783322,51.279338,-0.635364,-0.697103,0.943208
285,100.494353,51.431520,100.919346,49.263609,0.424993,-2.167911,2.209176
286,98.570018,50.886600,99.895608,50.137697,1.325590,-0.748902,1.522512
287,96.645684,50.341679,98.617833,49.307343,1.972149,-1.034336,2.226931
288,94.721350,49.796759,96.903014,47.274076,2.181664,-2.522683,3.335204
289,117.268439,58.260139,120.180748,56.318603,2.912309,-1.941535,3.500158
290,115.344105,57.715218,115.488994,55.422219,0.144890,-2.292999,2.297572
291,113.419771,57.170298,113.975712,54.375939,0.555941,-2.794359,2.849125
292,111.495437,56.625377,112.036823,53.644339,0.541387,-2.981038,3.029800
293,109.571102,56.080457,109.477139,52.170904,-0.093963,-3.909552,3.910681
294,107.646768,55.535536,106.140792,50.304844,-1.505976,-5.230693,5.443171
295,105.722434,54.990616,102.416519,52.980681,-3.305915,-2.009935,3.868968
296,103.798100,54.445695,101.200697,54.265837,-2.597403,-0.179859,2.603623
297,101.873766,53.900775,100.361245,52.653609,-1.512521,-1.247166,1.960393
298,99.949432,53.355854,100.374350,51.229084,0.424918,-2.126770,2.168803
299,98.025098,52.810934,98.655961,52.873742,0.630863,0.062808,0.633981
300,96.100764,52.266013,98.230547,51.153716,2.129783,-1.112297,2.402744
301,94.176430,51.721093,97.235960,48.836797,3.059530,-2.884296,4.204746
302,116.178598,62.108807,115.421644,64.468750,-0.756954,2.359943,2.478368
303,114.254264,61.563886,112.456893,64.176652,-1.797370,2.612766,3.171291
304,112.329930,61.018966,110.532708,63.619256,-1.797222,2.600291,3.160936
305,110.405596,60.474045,107.691999,62.816228,-2.713597,2.342183,3.584610
306,108.481262,59.929125,106.121520,62.419576,-2.359741,2.490452,3.430849
307,106.556927,59.384204,104.453625,61.442692,-2.103303,2.058488,2.943001
308,104.632593,58.839284,102.546413,59.763193,-2.086180,0.923909,2.281613
309,102.708259,58.294363,101.476554,58.664468,-1.231705,0.370104,1.286109
310,100.783925,57.749443,100.496919,59.530185,-0.287006,1.780742,1.803722
311,98.859591,57.204522,99.427926,58.674740,0.568335,1.470218,1.576244
312,116.723518,60.184473,118.218598,56.802975,1.495080,-3.381498,3.697268
313,114.799184,59.639552,113.781592,63.337597,-1.017592,3.698045,3.835496
314,112.874850,59.094632,111.314505,62.292475,-1.560345,3.197844,3.558213
315,110.950516,58.549711,108.784855,61.614159,-2.165661,3.064447,3.752456
316,109.026182,58.004791,106.105386,60.853372,-2.920796,2.848581,4.079885
317,107.101848,57.459870,104.042900,59.621607,-3.058948,2.161737,3.745700
318,105.177514,56.914950,102.570302,57.628218,-2.607212,0.713268,2.703018
319,103.253180,56.370029,101.804609,56.055025,-1.448570,-0.315004,1.482425
320,101.328846,55.825109,100.434139,57.660374,-0.894707,1.835265,2.041739
321,99.404512,55.280188,100.184462,55.694884,0.779950,0.414696,0.883343
322,97.480177,54.735268,99.488843,56.657679,2.008665,1.922411,2.780360
323,95.555843,54.190347,99.360156,54.336533,3.804312,0.146185,3.807120
324,93.631509,53.645427,97.811994,55.467223,4.180485,1.821796,4.560197
325,93.341937,47.327504,93.654318,45.945729,0.312381,-1.381776,1.416646
326,91.417603,46.782584,91.518316,45.877591,0.100713,-0.904993,0.910580
327,89.493268,46.237663,89.403273,45.879586,-0.089995,-0.358077,0.369213
328,92.797016,49.251838,94.868311,45.895116,2.071295,-3.356723,3.944344
329,90.872682,48.706918,90.637299,45.747051,-0.235384,-2.959866,2.969211
330,88.948348,48.161997,88.322465,46.057190,-0.625883,-2.104807,2.195892
331,87.024014,47.617077,86.942081,46.085819,-0.081933,-1.531257,1.533448
332,85.099680,47.072156,84.949781,46.518968,-0.149899,-0.553189,0.573138
333,92.252096,51.176172,92.731784,47.524059,0.479689,-3.652113,3.683481
334,90.327762,50.631252,90.553513,47.502188,0.225752,-3.129064,3.137197
335,88.403428,50.086331,88.306082,47.622671,-0.097346,-2.463660,2.465583
336,86.479093,49.541411,86.024349,46.203169,-0.454744,-3.338242,3.369073
337,84.554759,48.996490,83.742947,46.608700,-0.811813,-2.387790,2.522020
338,82.630425,48.451570,82.460013,46.932228,-0.170412,-1.519342,1.528869
339,80.706091,47.906650,80.527882,47.375399,-0.178209,-0.531251,0.560344
340,91.162255,55.024841,93.313807,58.143433,2.151552,3.118592,3.788772
341,89.237921,54.479920,90.993761,57.776421,1.755840,3.296501,3.734955
342,87.313587,53.935000,88.411422,57.516301,1.097835,3.581301,3.745792
343,85.389252,53.390079,84.640826,49.525731,-0.748426,-3.864348,3.936157
344,83.464918,52.845159,82.232074,49.630057,-1.232845,-3.215101,3.443368
345,81.540584,52.300238,80.574421,49.113776,-0.966163,-3.186462,3.329717
346,79.616250,51.755318,78.520594,49.402683,-1.095656,-2.352634,2.595255
347,77.691916,51.210397,76.551059,48.495984,-1.140857,-2.714413,2.944417
348,75.767582,50.665477,75.382627,48.979634,-0.384955,-1.685842,1.729235
349,73.843248,50.120556,73.555591,49.563398,-0.287657,-0.557158,0.627034
350,91.707175,53.100506,94.896784,47.975297,3.189609,-5.125210,6.036669
351,89.782841,52.555586,89.857480,48.877642,0.074639,-3.677944,3.678702
352,87.858507,52.010665,87.079686,48.673474,-0.778821,-3.337192,3.426866
353,85.934173,51.465745,85.441871,48.044403,-0.492302,-3.421342,3.456580
354,84.009839,50.920825,83.403895,48.285718,-0.605944,-2.635107,2.703878
355,82.085505,50.375904,81.529722,47.369683,-0.555783,-3.006221,3.057165
356,80.161171,49.830984,79.267265,47.806319,-0.893906,-2.024665,2.213218
357,78.236837,49.286063,77.811751,48.158376,-0.425086,-1.127687,1.205146
358,62.041896,55.093290,61.804203,54.026823,-0.237693,-1.066468,1.092635
359,61.496975,57.017624,60.753140,54.406761,-0.743835,-2.610863,2.714755
360,59.572641,56.472704,59.360532,54.977262,-0.212109,-1.495442,1.510409
361,57.648307,55.927783,57.577027,55.756251,-0.071280,-0.171532,0.185753
362,60.952055,58.941958,61.643766,56.026748,0.691712,-2.915211,2.996150
363,59.027721,58.397038,58.970561,56.045528,-0.057160,-2.351510,2.352204
364,57.103387,57.852117,56.277382,56.190273,-0.826004,-1.661845,1.855805
365,55.179052,57.307197,54.929069,56.800468,-0.249984,-0.506729,0.565036
366,60.407134,60.866292,59.944853,57.444572,-0.462282,-3.421721,3.452807
